time,destination,user id
0,Parkway Parade 2,0
0,Commonwealth Station,1
0,Dakota Station,2
0,Bukit Panjang Plaza,3
0,One Raffles Quay,4
0,Commonwealth Station,5
0,Lakeside Station,6
0,Holland Road Shopping Centre,7
0,Changi Airport Terminal 2,8
0,One Raffles Quay,9
0,Tiong Bahru Plaza,10
0,Bukit Panjang Plaza,11
0,Bukit Panjang Plaza,12
0,Pioneer Station,13
0,Chinatown Point,14
0,Commonwealth Station,15
0,Bukit Timah Shopping Centre,16
0,Buona Vista Station,17
0,Clementi Station,18
0,China Square,19
0,Holland Road Shopping Centre,20
0,Tiong Bahru Plaza,21
0,Chinatown Point,22
0,Sengkang Station G18,23
0,One Raffles Quay,24
0,Buona Vista Station,25
0,Buona Vista Station,26
1,Capital Tower,27
1,Katong Shopping Centre,28
1,Tiong Bahru Plaza,29
1,Buona Vista Station,30
1,Tiong Bahru Plaza,31
1,Blk 165 F38,32
1,Queenstown Station,33
1,Bukit Panjang Plaza,34
1,Lucky Plaza,35
1,Bukit Timah Shopping Centre,36
1,Changi Airport Terminal 2,37
1,Blk 165 F38,38
1,One Raffles Quay,39
1,One Raffles Quay,40
1,Jurong East Station,41
1,Katong Shopping Centre,42
1,Clementi Station,43
1,Clementi Station,44
1,Sim Lim Square,45
1,Little India Station F26,46
1,Dover Station J06,47
1,Changi Airport Terminal 2,48
1,Clementi Station,49
1,Katong Shopping Centre,50
1,Lucky Plaza,51
1,Katong Shopping Centre,52
1,One Raffles Quay,53
2,China Square,54
2,Bukit Panjang Plaza,55
2,Lucky Plaza,56
2,Little India Station F26,57
2,One Raffles Quay,58
2,Clementi Station,59
2,Chinatown Point,60
2,Little India Station F26,61
2,Queenstown Neighbourhood Police Centre,62
2,Dover Station J06,63
2,Little India Station F26,64
2,Little India Station F26,65
2,Lucky Plaza,66
2,Little India Station F26,67
2,Bukit Panjang Plaza,68
2,Changi Airport Terminal 2,69
2,Dover Station J06,70
2,Lucky Plaza,71
2,Pioneer Station,72
2,Dover Station J06,73
2,Changi Airport Terminal 2,74
2,Capital Tower,75
2,Dover Station J06,76
2,Blk 492 J10,77
2,Clementi Station,78
2,Changi Airport Terminal 2,79
2,Singapore General Hospital,80
